DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,TIME_PERIOD,OBS_VALUE,S3,T3,I13,T12,R1,S4,T33,S8,T5,S14,I11,S7,T2,S5,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_NPL_EMP_PTER_SEX_RT(1.0),YI,NPL,A,1510,EMP_PTER_RT,SEX_M,2008,26.86,,,,,3513,,,,,,264,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_NPL_EMP_PTER_SEX_RT(1.0),YI,NPL,A,1510,EMP_PTER_RT,SEX_M,2017,24.08,,,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_NPL_EMP_PTER_SEX_RT(1.0),YI,NPL,A,1510,EMP_PTER_RT,SEX_F,2008,34.05,,,,,3513,,,,,,264,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_NPL_EMP_PTER_SEX_RT(1.0),YI,NPL,A,1510,EMP_PTER_RT,SEX_F,2017,43.20,,,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_NPL_EMP_PTER_SEX_RT(1.0),YI,NPL,A,1510,EMP_PTER_RT,SEX_T,2017,31.20,,,,,3513,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_NPL_EMP_PTER_SEX_RT(1.0),YI,NPL,A,1510,EMP_PTER_RT,SEX_T,2008,30.58,,,,,3513,,,,,,264,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
