DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,TIME_PERIOD,OBS_VALUE,S3,T3,I13,T12,R1,S4,T33,S8,T5,S14,I11,S7,T2,S5,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_CUW_EMP_PTER_SEX_RT(1.0),YI,CUW,A,12900,EMP_PTER_RT,SEX_T,2018,21.89,11,94,,,,,,,,3359,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_CUW_EMP_PTER_SEX_RT(1.0),YI,CUW,A,12900,EMP_PTER_RT,SEX_F,2018,25.43,11,94,,,,,,,,3359,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_CUW_EMP_PTER_SEX_RT(1.0),YI,CUW,A,12900,EMP_PTER_RT,SEX_M,2018,18.14,11,94,,,,,,,,3359,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
