DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,AGE,TIME_PERIOD,OBS_VALUE,I12,T3,S3,C10,I13,S11,S4,R1,T5,S8,C6,S14,S9,S7,C2,I11,S5,T2,S6,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_F,AGE_YTHADULT_YGE15,1979,6.67,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_F,AGE_YTHADULT_YGE15,1961,4.38,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_F,AGE_YTHADULT_Y15-64,1979,7.03,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_F,AGE_YTHADULT_Y15-64,1961,4.64,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y15-19,1961,28.55,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y15-19,1979,20.93,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_F,AGE_5YRBANDS_Y20-24,1961,6.87,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_F,AGE_5YRBANDS_Y20-24,1979,15.69,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_F,AGE_5YRBANDS_YGE65,1961,1.32,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_F,AGE_5YRBANDS_YGE65,1979,0.49,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_F,AGE_5YRBANDS_Y60-64,1961,2.09,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_F,AGE_5YRBANDS_Y60-64,1979,1.06,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_YGE15,1961,40.63,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_YGE15,1979,43.08,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_T,AGE_10YRBANDS_YGE65,1961,21.41,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_T,AGE_10YRBANDS_YGE65,1979,20.45,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_T,AGE_10YRBANDS_Y55-64,1961,35.61,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_T,AGE_10YRBANDS_Y55-64,1979,43.15,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_M,AGE_10YRBANDS_YGE65,1961,40.64,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_M,AGE_10YRBANDS_YGE65,1979,38.72,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_M,AGE_10YRBANDS_Y45-54,1979,93.69,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_M,AGE_10YRBANDS_Y45-54,1961,83.14,,,,,,,,,,,1631,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_F,AGE_10YRBANDS_Y15-24,1979,8.36,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_F,AGE_10YRBANDS_Y15-24,1961,5.73,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_F,AGE_10YRBANDS_Y45-54,1979,2.23,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_F,AGE_10YRBANDS_Y45-54,1961,3.07,,,,,,,,,,,1631,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y30-34,1979,52.84,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y30-34,1961,47.48,,,,,,,,,,,2309,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y55-59,1979,45.87,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y35-39,1979,53.51,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_Y15-19,1979,37.06,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_Y15-19,1961,51.92,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_TOTAL,1979,77.01,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_TOTAL,1961,77.99,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_F,AGE_5YRBANDS_Y15-19,1979,3.44,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_F,AGE_5YRBANDS_Y15-19,1961,4.83,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_T,AGE_AGGREGATE_TOTAL,1961,40.63,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_T,AGE_AGGREGATE_TOTAL,1979,43.08,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_YGE65,1961,40.64,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_YGE65,1979,38.72,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_F,AGE_AGGREGATE_Y55-64,1961,2.09,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,1298,EAP_DWAP_RT,SEX_F,AGE_AGGREGATE_Y55-64,1979,1.48,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_YGE15,2011,39,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_YGE15,2007,39.80,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_YGE15,2000,39.40,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_YGE15,2009,40.10,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_YGE15,2012,38,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_YGE15,2001,38.80,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_YGE15,2005,38.30,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_YGE15,2013,37.10,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_YGE15,2014,36.40,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_YGE15,2006,37.70,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_YGE15,2003,37.40,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_YGE15,1998,38.60,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_YGE15,2002,38.40,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_YGE15,2008,39.50,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_YGE15,2010,39.50,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_YTHADULT_YGE15,2010,63.50,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_YTHADULT_YGE15,2012,61.30,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_YTHADULT_YGE15,2006,63.10,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_YTHADULT_YGE15,2001,65.50,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_YTHADULT_YGE15,2008,64,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_YTHADULT_YGE15,2007,64.40,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_YTHADULT_YGE15,2011,62.80,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_YTHADULT_YGE15,2003,63.20,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_YTHADULT_YGE15,2014,59.70,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_YTHADULT_YGE15,1998,62.90,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_YTHADULT_YGE15,2005,64.40,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_YTHADULT_YGE15,2013,60.40,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_YTHADULT_YGE15,2009,64.80,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_YTHADULT_YGE15,2000,66.10,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_YTHADULT_YGE15,2002,64.20,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_TOTAL,2006,63.10,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_TOTAL,2010,63.50,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_TOTAL,2002,64.20,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_TOTAL,2008,64,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_TOTAL,2009,64.80,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_TOTAL,2011,62.80,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_TOTAL,2012,61.30,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_TOTAL,2007,64.40,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_TOTAL,2001,65.50,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_TOTAL,2003,63.20,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_TOTAL,2014,59.70,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_TOTAL,2013,60.40,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_TOTAL,2000,66.10,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_TOTAL,2005,64.40,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_F,AGE_AGGREGATE_TOTAL,2006,11.90,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_F,AGE_AGGREGATE_TOTAL,2005,11.70,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_F,AGE_AGGREGATE_TOTAL,2010,14.70,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_F,AGE_AGGREGATE_TOTAL,2001,11.70,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_F,AGE_AGGREGATE_TOTAL,2002,12.30,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_F,AGE_AGGREGATE_TOTAL,2009,14.90,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_F,AGE_AGGREGATE_TOTAL,2014,12.60,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_JOR_EAP_DWAP_SEX_AGE_RT(1.0),YI,JOR,A,682,EAP_DWAP_RT,SEX_F,AGE_AGGREGATE_TOTAL,2007,14.70,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,BA,EAP_DWAP_SEX_AGE_RT
